epoch,bin_acc,loss,val_bin_acc,val_loss
0,0.9234418272972107,0.19429294764995575,0.9705854058265686,0.09981008619070053
1,0.9728534817695618,0.09868980944156647,0.9800882339477539,0.08649230003356934
2,0.9816449880599976,0.0812472403049469,0.9820337891578674,0.07683685421943665
3,0.9818351864814758,0.077021524310112,0.9820355772972107,0.07562236487865448
4,0.9818569421768188,0.07508797943592072,0.9820960164070129,0.07367371022701263
5,0.9819287657737732,0.0732048898935318,0.9821928143501282,0.07046482712030411
6,0.9821410775184631,0.06968759000301361,0.9824211597442627,0.06821347773075104
7,0.9827908873558044,0.06453267484903336,0.9837874174118042,0.06048459932208061
8,0.9843415021896362,0.05380108579993248,0.9852191805839539,0.04774322360754013
9,0.9859157800674438,0.04339246451854706,0.9872132539749146,0.04200312867760658
10,0.9874370098114014,0.03737166151404381,0.9874433875083923,0.03556777909398079
11,0.9868006110191345,0.039464063942432404,0.9882888793945312,0.03481430187821388
12,0.988547146320343,0.03169868141412735,0.988166093826294,0.03329664468765259
13,0.9890308380126953,0.029313119128346443,0.9889063239097595,0.03094223141670227
14,0.9893113374710083,0.027847306802868843,0.9882126450538635,0.030613088980317116
15,0.9897233247756958,0.026234587654471397,0.9883079528808594,0.029858000576496124
16,0.9898920655250549,0.02514439821243286,0.9888854026794434,0.029865514487028122
17,0.9903433322906494,0.02379019558429718,0.9888508915901184,0.028761623427271843
18,0.9822545647621155,0.06495378911495209,0.9869537353515625,0.05200280249118805
19,0.9881511926651001,0.04480985924601555,0.9886917471885681,0.04274984821677208
20,0.9891715049743652,0.03420402109622955,0.9886088967323303,0.03382658585906029
21,0.9895502924919128,0.02777010016143322,0.9883753061294556,0.03065617009997368
22,0.9902616739273071,0.024436920881271362,0.9882423281669617,0.029427891597151756
23,0.9904181957244873,0.023309310898184776,0.9883787035942078,0.028294792398810387
24,0.9909639358520508,0.021778438240289688,0.9878236651420593,0.029692066833376884
25,0.9911524057388306,0.021110353991389275,0.9881712794303894,0.030890043824911118
26,0.9914388060569763,0.020102376118302345,0.9881523847579956,0.02948872186243534
27,0.9916915893554688,0.01925458386540413,0.989124059677124,0.029369600117206573
28,0.992119312286377,0.018285244703292847,0.9888267517089844,0.027499966323375702
29,0.9924210906028748,0.01768365316092968,0.9876160621643066,0.030244315043091774
30,0.9931520819664001,0.016267700120806694,0.9887229800224304,0.0286688394844532
31,0.9935470819473267,0.015181207098066807,0.9889686107635498,0.030040187761187553
32,0.9936305284500122,0.014877280220389366,0.9901254177093506,0.02817019820213318
33,0.994276225566864,0.013555929996073246,0.989203691482544,0.030580073595046997
34,0.9950985312461853,0.012048349715769291,0.9905974864959717,0.029913078993558884
35,0.9954243302345276,0.011415431275963783,0.9900735020637512,0.03143208846449852
36,0.9959839582443237,0.010155399329960346,0.9905698299407959,0.03654254227876663
